meter_no,date,weekday,time,demand_kW,period
07281937401,2024-07-01,0,00:00,21880.88,Off_Peak
07281937401,2024-07-01,0,00:15,21813.01,Off_Peak
07281937401,2024-07-01,0,00:30,21958.5,Off_Peak
07281937401,2024-07-01,0,00:45,23150.31,Off_Peak
07281937401,2024-07-01,0,01:00,22649.83,Off_Peak
07281937401,2024-07-01,0,01:15,21452.78,Off_Peak
07281937401,2024-07-01,0,01:30,21921.26,Off_Peak
07281937401,2024-07-01,0,01:45,21504.4,Off_Peak
07281937401,2024-07-01,0,02:00,20547.89,Off_Peak
07281937401,2024-07-01,0,02:15,21519.3,Off_Peak
07281937401,2024-07-01,0,02:30,22549.65,Off_Peak
07281937401,2024-07-01,0,02:45,22211.94,Off_Peak
07281937401,2024-07-01,0,03:00,20998.56,Off_Peak
07281937401,2024-07-01,0,03:15,20759.08,Off_Peak
07281937401,2024-07-01,0,03:30,18694.96,Off_Peak
07281937401,2024-07-01,0,03:45,20152.89,Off_Peak
07281937401,2024-07-01,0,04:00,20239.01,Off_Peak
07281937401,2024-07-01,0,04:15,22040.51,Off_Peak
07281937401,2024-07-01,0,04:30,22981.24,Off_Peak
07281937401,2024-07-01,0,04:45,23820.97,Off_Peak
07281937401,2024-07-01,0,05:00,23816.88,Off_Peak
07281937401,2024-07-01,0,05:15,22338.49,Off_Peak
07281937401,2024-07-01,0,05:30,20936.09,Off_Peak
07281937401,2024-07-01,0,05:45,19758.61,Off_Peak
07281937401,2024-07-01,0,06:00,18746.96,Off_Peak
07281937401,2024-07-01,0,06:15,16573.18,Off_Peak
07281937401,2024-07-01,0,06:30,16334.68,Off_Peak
07281937401,2024-07-01,0,06:45,17479.55,Off_Peak
07281937401,2024-07-01,0,07:00,17356.94,Off_Peak
07281937401,2024-07-01,0,07:15,17336.7,Off_Peak
07281937401,2024-07-01,0,07:30,18014.89,Off_Peak
07281937401,2024-07-01,0,07:45,19989.74,Off_Peak
07281937401,2024-07-01,0,08:00,19416.89,Off_Peak
07281937401,2024-07-01,0,08:15,18831.42,Off_Peak
07281937401,2024-07-01,0,08:30,20962.96,Off_Peak
